objid,svd_comp_1,svd_comp_2,svd_comp_3,svd_comp_4,svd_comp_5,svd_comp_6,svd_comp_7,svd_comp_8,svd_comp_9,svd_comp_10
1.2376529018239716e+18,1992.153430271423,332.2321768408175,96.26145552843681,79.36835406901217,74.75562975473989,71.38501923747457,65.06459476465113,55.58178863955249,51.29257914451383,50.632917463256966
1.2376529469169992e+18,1947.9022810415158,791.2576989701078,445.56971817631785,182.89992214074405,146.59329702169268,107.53745713002016,100.41236936779146,88.54814055377412,73.25647807029975,65.56395069288962
1.237672794499187e+18,1827.7571778333304,342.44218822862655,181.88418502022992,161.73203887793835,110.97873126708598,91.06549163376967,71.11551817413742,62.57025863909142,51.790612903903316,44.65147703584852
1.2376526285641485e+18,1875.2086007214675,436.7522770510307,174.85293924665655,104.93666815324542,96.97167731267672,79.68865468319605,76.41918409010604,56.33747000960669,54.5923317023187,44.653199034239734
1.237652628564214e+18,1814.6321889774645,376.84953798677213,158.01087579474415,110.06342461579983,96.13141683615889,83.41106476958348,68.22522636537971,57.58287992281951,54.3420490408545,44.12076649354856
1.237652947990872e+18,1501.3394558412065,226.00939239401623,196.32058770775518,120.79913279623395,88.33771096542397,70.43622320206269,63.29882817574933,54.94885632207564,50.18730966358755,49.03074254874587
1.2376529479906757e+18,2587.418337807172,300.3078965286355,95.07361389930063,79.72417886759855,72.23610558105283,66.11739574691299,58.407726649072465,50.69013401908709,45.46023206223619,44.746868324588576
1.2376529018242335e+18,1301.0074089281836,280.05560685313213,155.23636482064396,79.99981461700132,63.50901937160824,48.03255273516942,43.749011954841606,41.04270153355529,37.38916541904492,35.90136416589599
1.2376529479907412e+18,1283.2334017737764,226.75568084071145,115.91185061928687,93.86806180099072,57.56131353777307,46.567299451101675,44.55544261634646,40.94546858589521,36.160616303295065,31.82399373549715
1.2376529018242335e+18,1336.7168386777769,302.6188956920412,188.33110499270936,106.15130014466921,76.97474421467372,65.93928958768782,62.56498030792266,54.91090128927313,52.08209985956697,43.838013159288955
1.2376529474538703e+18,1260.8870057142017,215.00060709081058,174.95911785770372,87.9066141441708,83.26447448708531,73.81643350479068,52.34789039909227,45.295177576933426,42.80692441552818,37.00564215866563
1.237657189832786e+18,1638.802038375831,437.638821402266,332.31214280715005,224.75120576989937,127.01227171617099,89.9919304081709,68.6238253517792,45.954015840802114,43.8822514129724,41.83710045740437
1.2376529485276122e+18,1557.6565234289246,240.662535016533,122.99285948754238,98.84088887488284,74.00557250542688,65.96980999250296,60.23745084362823,54.20157233768688,51.090051406534364,48.46821272145725
1.2376529485275464e+18,1178.0589185731694,555.7841827573757,296.4088602838849,150.34173776774938,120.76424737669747,79.70885103014609,54.29862993822469,49.73242247552722,49.00162587851479,42.36700133555536
1.237652948527743e+18,1711.278327684492,357.23695819393026,192.0830335922342,108.04081567646564,99.22730415262515,80.47509883391703,71.84795769147037,69.37077125109104,58.95333882528083,54.37713870919054
1.2376529479908723e+18,1825.2977536653602,336.17439119686065,303.2154204480998,122.31456574794616,91.07335927523421,79.48288905035906,66.00100119774345,60.90755509489354,52.565000828458224,47.008178576051904
1.237652900212638e+18,2599.9353165704943,382.1734817808039,135.6749303076657,122.80702395429294,87.87845688543901,80.42309765774282,78.6251254346234,73.20006959916577,66.40777799133,57.03003315484564
1.2376529002127035e+18,1391.9828058379335,352.2113234280187,151.6361414600984,79.73693730581515,72.55164712921193,59.439065808938295,47.958086315948094,47.18259737364291,44.527645991247866,38.173976447831265
1.237652900749574e+18,4211.2538178450395,533.482000417697,375.4726616351358,95.34708027107838,79.00901389734855,65.7241383375916,58.64930526452833,54.396030583315415,49.14844973187153,47.66750714665817
1.237652948527874e+18,1388.1104352695531,199.51372701524366,142.5009853609216,84.93708018058373,63.379097867237334,58.37972174276824,54.55765791505978,53.866573841656745,43.68742886762114,41.494838208619626
1.237652901286314e+18,1532.5067796380185,670.5481710845131,354.8202290634726,145.56554959866506,127.3072137908564,64.86845262093178,60.014239219805994,54.455454059341214,50.99637371116651,45.01975888509943
1.2376529479910687e+18,1577.1757481147313,378.2530445891449,268.23275206094604,129.81263034308998,84.51248897206449,72.70254174513953,58.46383854750244,56.76296276631973,51.648014025108225,50.09629536376625
1.2376564940415306e+18,1739.1097980062723,279.31029724142405,139.17208362770742,88.45602849112147,78.84783320203424,70.41346635078536,66.80910290834612,59.975423343306446,53.23532716575043,46.88527950152925
1.237656494578467e+18,1391.560591365283,514.189453479643,312.49170634518816,210.3059783968324,117.11338739387124,90.54317818578494,63.73158881254564,52.357810998556126,45.204478240002544,39.235938857573174
1.2376529469164751e+18,1233.376915294723,508.9619944375654,393.23309003058284,189.34859555479693,118.54222975551681,110.25000423443417,80.8099796996867,69.67776006968109,61.37061207316098,51.75596165876417
1.2376529463796698e+18,1409.3333011969805,195.8008435756301,183.8471046948561,132.65289200471537,121.73641077489346,90.99459849666529,76.96933091367697,64.87524434628953,62.61266261479094,57.0424471777113
1.2376727950351404e+18,1328.0144700634332,615.3365798295811,516.1086688765009,249.52722273099855,225.03282782203794,110.26343251816179,95.52314832477617,75.73600762834839,54.7818666510257,42.612089946203675
1.2376571903699845e+18,2100.8292911105646,415.8866651319565,187.22361801177843,112.0716756428357,98.30164223970236,79.8461250798367,77.92260351677476,65.605439944756,59.43780995733706,51.321538632127385
1.237656496189145e+18,1358.2469657941626,429.3363749504069,209.5393345155238,171.14467113713522,104.62241416840271,69.77231480193561,64.17214276302487,59.41416484391648,51.37655963223627,45.72986720912165
1.237652946916541e+18,1618.5425178105368,526.1709247313063,292.7715055184581,146.4191719009676,79.15478882683372,75.1617322333685,66.70932578839913,61.1276182580471,54.08469590654815,47.007288744108166
1.2376529469166062e+18,1771.703297768799,316.7509353139754,144.6640009654324,118.67395917149709,97.67989717413433,75.94123535016813,71.25560631717207,67.46764864970116,53.71656494743541,48.47721887462268
1.2376571903701158e+18,2252.5792562545926,340.17835854068784,139.4293104304233,111.13141207720342,90.97928765679337,83.30537269909142,64.57255492674359,59.435955458913874,52.74856082393434,49.76050010340332
1.237656495115338e+18,2528.8730894999544,336.0481468125193,194.09224798065986,149.72633240289403,73.61951941384139,71.12678445911378,67.96605197458648,57.14999054216099,54.81866794945999,52.78647316918884
1.2376564951155346e+18,1204.7021899852882,232.71202639829195,180.52179549856098,107.20202270742867,68.46632695467493,62.259935891119326,52.27099504862805,49.11425330474464,41.58585498146673,40.23959805845181
1.2376571903701158e+18,1280.6475432332059,627.0001126931759,422.6551887898322,207.77386074896515,154.17748235470876,103.75472305619878,86.6487760739947,63.77688445408538,50.72823832607501,45.72748039236698
1.2376564951156e+18,1923.685395780773,415.5719777905915,245.73853972861292,188.65135637513873,86.69541594374036,76.38920071591382,63.02364317564737,52.82204774546667,49.3315182508208,43.11259437211262
