specobjid,objid,ra,dec,p_el_debiased,p_cs_debiased,spiral,elliptical,petroR50_r,petroR90_r,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
451525475060180992,1237666407379959995,25.833208,-0.51958334,0.0140000004321336,0.9860000014305116,1,0,3.8121989,7.3142056,19.226036,18.052296,17.3418,16.967628,16.729696,0.15946122,0.11733004,0.08509754,0.064526886,0.045750365
746615985124960256,1237679437736509563,25.282625,-8.235945,0.0520000010728836,0.915000021457672,1,0,2.1664793,5.4847913,20.346073,18.620237,17.703247,17.245983,16.884377,0.13643888,0.10039043,0.072811514,0.055210765,0.039145123
451502935071811584,1237666407380156586,26.277584,-0.6211944,0.0920000001788139,0.9079999923706056,1,0,2.4566941,5.1013236,18.612226,17.563408,17.300892,17.082142,16.970758,0.17138109,0.12610058,0.091458656,0.06935033,0.04917025
451504859217160192,1237666407380156596,26.294916,-0.53019446,0.0,0.9710000157356262,1,0,2.3186684,5.734391,19.47069,17.88136,16.949936,16.474106,16.121992,0.16877012,0.12417945,0.09006529,0.06829379,0.048421144
746636875845888000,1237679437736706382,25.722792,-8.148778,0.0219999998807907,0.977999985218048,1,0,3.446356,8.455136,18.89756,17.893723,17.672415,17.582458,17.576698,0.12871866,0.09470997,0.06869157,0.052086737,0.036930148
452696455027648512,1237666407380287637,26.555876,-0.5323333,0.0099999997764825,0.9139999747276306,1,0,3.325461,7.6972795,19.022118,17.183058,16.293943,15.844426,15.496269,0.17128482,0.12602974,0.091407284,0.06931137,0.04914263
452696729905555456,1237666407380353145,26.618542,-0.47330555,0.0230000000447034,0.9769999980926514,1,0,2.6181927,6.232113,19.440191,17.906519,17.130411,16.726181,16.399652,0.17024206,0.12526248,0.0908508,0.06888941,0.04884345
451567531379943424,1237657069547290789,24.628708,-0.8667222,1.0,0.0,0,1,2.771236,8.107114,19.84037,17.94855,16.729572,16.236633,15.883535,0.18620539,0.13700815,0.09936974,0.07534906,0.053423427
452686009667184640,1237666407380418565,26.754168,-0.4675,0.0189999993890523,0.9419999718666076,1,0,3.303876,7.6684475,19.444988,17.83707,16.976309,16.53508,16.209158,0.1656438,0.12187913,0.088396914,0.0670287,0.047524188
452687384056719360,1237666407380418640,26.797958,-0.6088611,0.0240000002086162,0.9760000109672546,1,0,3.7375095,7.2278414,17.300686,16.130438,15.596547,15.264103,15.019677,0.17144659,0.12614878,0.091493614,0.06937684,0.049189042
451545266269480960,1237657069547618337,25.368,-0.9114444,0.962000012397766,0.0,0,1,1.8583777,5.7549186,20.682861,18.60712,17.488775,17.030298,16.69876,0.14298534,0.10520726,0.07630508,0.05785983,0.04102334
451541692856690688,1237657069547684062,25.467209,-1.0242223,0.0,1.0,1,0,3.2064872,8.282497,19.192892,17.640083,16.80213,16.36035,16.062439,0.1409445,0.10370561,0.075215966,0.05703399,0.04043781
